Season,PlayerName,MatchesPlayed,Successful tackles
Season 5,M. Thivakaran,9,2
Season 5,Babu M,2,2
Season 5,More GB,6,2
Season 5,Shashank Wankhede,3,2
Season 5,Young Chang Ko,14,2
Season 5,Anil Kumar,5,2
Season 5,Kuldeep,5,2
Season 5,Surender Singh,18,2
Season 5,Vinod Kumar,4,2
Season 5,Deepak Narwal,16,2
Season 5,Deepak Kumar Dahiya,16,2
Season 5,Maninder Singh,21,2
Season 5,Parmod Narwal,6,2
Season 5,Shabeer Bappu,12,2
Season 5,Sukesh Hegde,18,2
Season 5,Rupesh Tomar,1,1
Season 5,Manoj Kumar,5,1
Season 5,Rajesh Mondal,24,1
Season 5,Prashanth Kumar Rai,16,1
Season 5,Rakesh Narwal,6,1
Season 5,K. Prapanjan,22,1
Season 5,Ravinder Kumar,1,1
Season 5,Mayur Shivtarkar,5,1
Season 5,Vishnu Uthaman,3,1
Season 5,Anil Kumar,5,1
Season 5,Pawan Kumar Sehrawat,9,1
Season 5,Rahul Choudhary,5,1
Season 5,Ajvender Singh,2,1
Season 5,Rohit Kumar,7,1
Season 5,R. Sriram,11,1
Season 5,Sanoj Kumar,2,1
Season 4,Amit Hooda,16,47
Season 4,Fazel Atrachali,16,45
Season 4,Mohit Chhillar,14,44
Season 4,Manjeet Chhillar,12,43
Season 4,Sandeep Narwal,16,40
Season 4,Sachin Shingade,14,39
Season 4,Sandeep Kumar Dhull,12,35
Season 4,Ravinder Pahal,14,35
Season 4,PO Surjeet Singh,14,33
Season 4,Joginder Singh Narwal,16,32
Season 4,Dharmaraj Cheralathan,14,31
Season 4,Vinod Kumar,12,30
Season 4,Surender Nada,13,29
Season 4,Kuldeep Singh,15,29
Season 4,Vishal Mane,14,28
Season 4,Ran Singh,16,27
Season 4,Nilesh Shinde,12,26
Season 4,Jeeva Kumar,14,24
Season 4,Rakesh Kumar,14,23
Season 4,Girish Maruti Ernak,12,23
Season 4,Somvir Shekhar,16,21
Season 4,Bajirao Hodage,14,20
Season 4,D. Suresh Kumar,14,19
Season 4,Jasmer Singh Gulia,13,19
Season 4,Rajesh Narwal,16,18
Season 4,Ashish Kumar,14,17
Season 4,Sunil,10,15
Season 4,C. Arun,14,14
Season 4,S Mahalingam,11,14
Season 4,Amit Singh Chhillar,9,13
Season 4,Sanket Chavan,6,11
Season 4,Anil Kumar,9,11
Season 4,Prashant Chavan,9,10
Season 4,Anup Kumar,14,9
Season 4,Hadi Oshtorak,7,9
Season 4,Meraj Sheykh,14,9
Season 4,Kashiling Adake,13,8
Season 4,Mahipal Narwal,14,7
Season 4,Shabeer Bappu,12,6
Season 4,Rohit Kumar,14,6
Season 4,Sagar B Krishna,11,6
Season 4,Vishal Bhardwaj,2,6
Season 4,D. Gopu,5,5
Season 4,Surjeet Narwal,5,4
Season 4,CPO Surjeet Singh,10,4
Season 4,Jasvir Singh,14,4
Season 4,Deepak Niwas Hooda,16,4
Season 4,Jang Kun Lee,11,4
Season 4,Manoj Kumar,8,4
Season 4,Rohit Rana,5,3
Season 4,Rupesh Tomar,3,3
Season 4,Rahul Chaudhari,16,3
Season 4,Parvesh Bhainswal,7,3
Season 4,Umesh Mhatre,2,3
Season 4,Suresu Kumar,11,3
Season 4,Monu Goyat,13,3
Season 4,Jawahar Dagar,6,2
Season 4,Preetam Chhillar,8,2
Season 4,Vijin Thangadurai,9,2
Season 4,Yogesh Hooda,5,2
Season 4,Surender Singh,11,2
Season 4,Rahul Kumar,9,2
Season 4,Anil Kumar,4,2
Season 4,Rajesh Mondal,15,2
Season 4,Nitin Madane,13,1
Season 4,Ajay Thakur,16,1
Season 4,Shrikant Tewthia,4,1
Season 4,Parmod Narwal,8,1
Season 4,Pawan Kumar Kadian,9,1
Season 4,Nitin Tomar,12,1
Season 4,Nilesh Salunke,15,1
Season 4,Hadi Tajik,1,1
Season 4,Sumit Singh,5,1
Season 4,Ajay Singh,1,1
Season 4,Ravindra Ramesh Kumawat,2,1
Season 4,Tushar Patil,8,1
Season 4,Manoj Dhull,2,1
Season 4,Pardeep Narwal,16,1
Season 4,Deepak Kumar Dahiya,7,1
Season 4,Vinod Kumar,9,1
Season 3,Manjeet Chhillar,15,56
Season 3,Sandeep Narwal,14,53
Season 3,PO Surjeet Singh,12,47
Season 3,Mohit Chhillar,13,44
Season 3,Jasmer Singh Gulia,16,41
Season 3,Bajirao Hodage,16,36
Season 3,Girish Maruti Ernak,11,33
Season 3,Fazel Atrachali,11,32
Season 3,Jeeva Kumar,16,30
Season 3,Nilesh Shinde,16,30
Season 3,Dharmaraj Cheralathan,14,28
Season 3,Sunil,15,28
Season 3,Sandeep Kumar Dhull,10,26
Season 3,Ashish Kumar,13,25
Season 3,Ravinder Pahal,11,22
Season 3,Ran Singh,14,21
Season 3,Somvir,14,20
Season 3,Anil Kumar,11,19
Season 3,Meraj Sheykh,14,18
Season 3,Rajesh Narwal,14,18
Season 3,Hadi Oshtorak,10,17
Season 3,Rakesh Kumar,15,16
Season 3,Vinod Kumar,9,16
Season 3,D. Suresh Kumar,12,16
Season 3,Vishal Mane,13,16
Season 3,Rohit Rana,12,14
Season 3,Surender Nada,7,13
Season 3,Manoj Kumar,11,13
Season 3,Shrikant Tewthia,13,12
Season 3,Vikas Kale,9,12
Season 3,C. Arun,11,12
Season 3,Rahul Kumar,11,12
Season 3,Deepak Kumar Rathee,14,11
Season 3,Amit Hooda,4,11
Season 3,Kuldeep Singh,10,11
Season 3,Rahul Chaudhari,13,10
Season 3,Jang Kun Lee,15,9
Season 3,Preetam Chhillar,11,9
Season 3,Mahipal Narwal,4,8
Season 3,Ravi Kumar,12,8
Season 3,Gangadhari Mallesh,10,8
Season 3,Rishank Devadiga,16,8
Season 3,Deepak Niwas Hooda,12,7
Season 3,Rohit Kumar,12,7
Season 3,Pawan Kumar Sehrawat,13,6
Season 3,Rajaguru Subramanian,7,6
Season 3,Nitin More,10,5
Season 3,Amit Singh Chhillar,5,5
Season 3,Pardeep Narwal,16,5
Season 3,Samarjeet Singh,5,5
Season 3,Mahendra Ganesh Rajput,8,5
Season 3,Sachin Shingade,2,5
Season 3,Jagdeesha K.K.,7,5
Season 3,Manpreet Singh,13,5
Season 3,Umesh Mhatre,6,4
Season 3,Amit Om Prakash Rathi,8,4
Season 3,Ajay Thakur,14,4
Season 3,Shyam Kumar Sah,7,4
Season 3,Prashant Chavan,6,3
Season 3,Anup Kumar,13,3
Season 3,Navneet Gautam,7,3
Season 3,Kashiling Adake,11,3
Season 3,Kuldeep Singh,1,3
Season 3,Deepak Kumar,3,3
Season 3,Surjeet Narwal,12,3
Season 3,Rakesh Singh Kumar,8,3
Season 3,Sandeep,3,3
Season 3,Nitin Tomar,10,3
Season 3,Darshan Kadian,2,2
Season 3,Sushil Vijay Bhosle,2,2
Season 3,Anil Shriram Nimbolkar,6,2
Season 3,Rohit Baliyan,11,2
Season 3,Vijin Thangadurai,4,2
Season 3,Yogesh Hooda,6,2
Season 3,Seong Ryeol Kim,8,2
Season 3,Gurvinder Singh,5,2
Season 3,Parmod Narwal,4,2
Season 3,Sukesh Hegde,13,2
Season 3,D. Gopu,2,1
Season 3,Rajesh Mondal,9,1
Season 3,Raju Lal Choudhary,1,1
Season 3,Bhupender Singh,11,1
Season 3,Mahesh Goud,13,1
Season 3,Surender Singh,12,1
Season 3,T. Prasad,3,1
Season 3,G.S. Manikandan,7,1
Season 3,Mohammad Maghshoudulu,10,1
Season 3,Rohit Kumar Prajapat,3,1
Season 3,Deepak Narwal,9,1
Season 3,Deepak Dhull,1,1
Season 3,Selvamani K,8,1
Season 3,Vineet Sharma,4,1
Season 3,Gnanasekaran M,8,1
Season 3,Ravinandan G.M.,1,1
Season 3,Navjot Singh,1,1
Season 3,Sanju,4,1
Season 3,Virender Wazir Singh,4,1
Season 3,Nirbhay Narwal,2,1
Season 3,Hardeep Duhan,1,1
Season 2,Sandeep Kandola,16,55
Season 2,Ravinder Pahal,14,53
Season 2,Dharmaraj Cheralathan,15,41
Season 2,Manjeet Chhillar,16,39
Season 2,Mohit Chhillar,14,39
Season 2,Surender Nada,14,39
Season 2,Sandeep Narwal,16,34
Season 2,Ravi Kumar,13,33
Season 2,Somvir Shekhar,14,32
Season 2,Deepak Niwas Hooda,15,32
Season 2,Jeeva Kumar,13,31
Season 2,Kuldeep Singh,14,30
Season 2,Joginder Singh Narwal,14,30
Season 2,Ran Singh,14,27
Season 2,Girish Maruti Ernak,13,26
Season 2,D. Suresh Kumar,16,26
Season 2,Vishal Mane,14,26
Season 2,Nilesh Shinde,12,21
Season 2,Sachin Khambe,8,20
Season 2,Amit Hooda,12,20
Season 2,Sunil,9,19
Season 2,Rakesh Singh Kumar,13,17
Season 2,Rohit Rana,10,16
Season 2,Rajesh Narwal,14,16
Season 2,Rajaguru Subramanian,12,15
Season 2,Rishank Devadiga,13,14
Season 2,Shyam Kumar Sah,7,13
Season 2,Bajirao Hodage,7,13
Season 2,Manoj Kumar,14,13
Season 2,Manoj Dhull,7,13
Season 2,Vijin Thangadurai,7,11
Season 2,Amit Singh Chhillar,6,11
Season 2,Dadaso Balaso Awad,7,10
Season 2,C. Arun,8,10
Season 2,Deepak Dhull,8,10
Season 2,G.S. Manikandan,13,9
Season 2,Vijender Singh,7,9
Season 2,Fazel Atrachali,5,9
Season 2,Meraj Sheykh,15,9
Season 2,Rahul Chaudhari,14,9
Season 2,Prashant Chavan,11,9
Season 2,D. Gopu,7,9
Season 2,Shrikant Tewthia,9,8
Season 2,Preetam Chhillar,12,8
Season 2,Jasvir Singh,13,8
Season 2,Bhupender Singh,11,8
Season 2,Harvinder Singh,4,7
Season 2,Hadi Oshtorak,4,6
Season 2,Anup Kumar,14,6
Season 2,Gangadhari Mallesh,10,6
Season 2,Mahipal Narwal,9,6
Season 2,Vikas Kale,8,6
Season 2,Parveen M. Jangra,6,5
Season 2,Kalimuthu Balamahendran,6,5
Season 2,Gurvinder Singh,16,5
Season 2,Tae Deok Eom,8,5
Season 2,Varinder Singh,8,5
Season 2,Deepak Narwal,16,4
Season 2,Rajeev Kumar,3,4
Season 2,Deepak Kumar,4,4
Season 2,Isac Antony,7,4
Season 2,T. Prasad,6,4
Season 2,Sagar Khatale,4,4
Season 2,Rupesh Tomar,6,4
Season 2,Sunil Jaipal,10,4
Season 2,Prashanth Kumar Rai,15,3
Season 2,Seong Ryeol Kim,4,3
Season 2,Kashiling Adake,14,3
Season 2,Jitesh Joshi,5,3
Season 2,Rakesh Kumar,4,3
Season 2,Ravi Dalal,11,3
Season 2,Surender Singh,2,3
Season 2,Rohit Kumar Choudary,14,3
Season 2,K. Prapanjan,4,2
Season 2,Anoop E.V.,2,2
Season 2,Ashish Kumar,5,2
Season 2,Aman Kumar,4,2
Season 2,Amit Kumar Tomar,9,2
Season 2,Vineet Sharma,8,2
Season 2,Nitin More,3,2
Season 2,Jang Kun Lee,14,2
Season 2,Jasmer Singh Gulia,3,2
Season 2,Wazir Singh,11,2
Season 2,Sukesh Hegde,13,2
Season 2,Sachin Shingade,4,2
Season 2,Samarjeet Singh,5,1
Season 2,Mahendra Ganesh Rajput,12,1
Season 2,Pradeep Kumar,6,1
Season 2,Suresu Kumar,1,1
Season 2,Kedar Lal,9,1
Season 2,Shabeer Bappu,10,1
Season 2,Jeeva Gopal,2,1
Season 2,Gurpreet Singh,2,1
Season 2,Ajay Thakur,13,1
Season 2,Chandran Ranjit,1,1
Season 2,Pravin Niwale,8,1
Season 2,Rajesh Mondal,15,1
Season 2,Navneet Gautam,7,1
Season 2,Jishnu,3,1
Season 2,Amit Kumar,1,1
Season 2,Ravit Kumar,3,1
Season 2,Sanjay Kumar,7,1
Season 2,Yogesh Hooda,4,1
Season 2,Sandeep Malik,1,1
Season 2,Ashish Chhokar,6,1
Season 2,Adinath Sakharam Gavali,1,1
Season 2,Hyunil Park,2,1
Season 1,Manjeet Chhillar,16,51
Season 1,Surender Nada,15,47
Season 1,Rohit Rana,15,37
Season 1,Jasmer Singh Gulia,14,36
Season 1,Dharmaraj Cheralathan,16,34
Season 1,Mohit Chhillar,16,30
Season 1,Ravinder Pahal,9,29
Season 1,Prashant Chavan,15,28
Season 1,Amit Singh Chhillar,14,26
Season 1,Nilesh Shinde,14,25
Season 1,Rajesh Narwal,16,25
Season 1,Gurpreet Singh,16,24
Season 1,Wasim Sajjad,15,24
Season 1,D. Suresh Kumar,12,24
Season 1,Ran Singh,10,23
Season 1,Girish Maruti Ernak,12,22
Season 1,Sandeep Narwal,16,21
Season 1,Parmod Narwal,16,20
Season 1,D. Gopu,15,20
Season 1,Sachin Khambe,14,20
Season 1,Vishal Mane,16,19
Season 1,Sachin Shingade,10,19
Season 1,Vijendar Singh,8,19
Season 1,Rajaguru Subramanian,14,18
Season 1,Shyam Kumar Sah,13,17
Season 1,Manoj Kumar,14,17
Season 1,Navneet Gautam,14,16
Season 1,Jeeva Kumar,9,16
Season 1,Kalimuthu Balamahendran,14,14
Season 1,Ram Kumar Sah,9,14
Season 1,Rishank Devadiga,16,13
Season 1,Sunil Jaipal,13,13
Season 1,Nitin More,9,12
Season 1,Anup Kumar,16,12
Season 1,Jitesh Joshi,14,11
Season 1,Rakesh Kumar,12,11
Season 1,Samarjeet Singh,12,10
Season 1,Sagar Khatale,8,10
Season 1,Bajirao Hodage,6,9
Season 1,Rahul Chaudhari,14,9
Season 1,Shrikant Tewthia,14,8
Season 1,Kashiling Adake,14,8
Season 1,Mahesh Goud,13,8
Season 1,Swapnil Dilip Shinde,8,8
Season 1,Preetam Chhillar,11,7
Season 1,Mahipal Narwal,5,7
Season 1,Jasvir Singh,15,6
Season 1,Jeeva Gopal,11,6
Season 1,Maninder Singh,16,6
Season 1,Wazir Singh,12,5
Season 1,Surjeet Narwal,14,5
Season 1,Ajay Thakur,15,5
Season 1,Seong Ryeol Kim,3,5
Season 1,Dadaso Balaso Awad,5,4
Season 1,Kuldeep Singh,3,4
Season 1,Nitin Madane,12,4
Season 1,Rajesh Mondal,15,4
Season 1,Sukesh Hegde,14,4
Season 1,Vikas Tomar,8,4
Season 1,Gurchet Singh,4,3
Season 1,Rakesh Singh Kumar,9,3
Season 1,Rupesh Tomar,5,3
Season 1,Gurvinder Singh,7,3
Season 1,Gangadhari Mallesh,10,3
Season 1,Deepak Niwas Hooda,14,2
Season 1,Ehsan Zamani Fard,8,2
Season 1,Simon Kibura,4,2
Season 1,Jang Kun Lee,11,2
Season 1,Raju Lal Choudhary,5,2
Season 1,Punit Kumar Teotia,4,2
Season 1,Parveen Kumar,8,2
Season 1,Sunil Hanumanthappa,5,2
Season 1,Gokul Shitole,3,2
Season 1,Deepak Kumar Dahiya,7,2
Season 1,Mangesh Bhagat,8,1
Season 1,Pawan Kumar Kadian,10,1
Season 1,Sunil Subhash Lande,4,1
Season 1,Pravin Niwale,7,1
Season 1,Shabeer Bappu,10,1
Season 1,Farhad Kamal Gharibi,2,1
Season 1,Takamitsu Kono,1,1
Season 1,Tae Deok Eom,9,1
Season 1,Atif Waheed,3,1
Season 1,Wajid Ali,4,1
Season 1,Sinotharan Kanesharajah,1,1
